"""서현역 부상자 14명 중 12명 중상""...응급환자 치료",2023-08-03 23:56:59,YTN,"[앵커]경기 성남시 서현역에서 발생한 흉기 난동과 차량 돌진 사건으로 현재까지 14명이 다쳤습니다.12명이 크게 다쳐 여러 병원으로 옮겨졌고, 위중한 환자는 헬기로 긴급하게 이송되기도 했습니다.병원에 YTN 취재기자 나가 있습니다,![기자]네, 경기도 수원시 아주대병원에 나와 있습니다.[앵커]권 기자가 나가 있는 병원으로도 중상을 입은 시민이 이송된 거죠?[기자]그렇습니다,이곳 아주대병원에는 분당 서현동에서 인도로 들이닥친 차에 치여 중상을 입은 20대 여성 환자가 긴급히 헬리콥터로 이송됐습니다.소방당국이 출동했을 때 이 환자는 의식을 잃은 상태였는데요,외상센터로 옮겨져 응급 치료를 받고 있습니다.피의자 20대 남성 최 모 씨가 분당 서현동에서 차를 몰고 인도를 덮친 뒤 흉기 난동을 벌이면서 현재까지 모두 14명이 다친 것으로 파악됐습니다.먼저, 오늘 오후 5시 55분쯤 백화점 옆 도로에서 최 씨가 탄 차량이 인도로 돌진하면서 행인 5명이 다쳤습니다.그러고서 5분 뒤 A 씨가 백화점 내에서 흉기를 휘두르며, 9명이 더 다쳤습니다.부상자들은 사고 직후 이곳 아주대병원과 인근 분당제생병원, 분당 서울대병원 등으로 옮겨졌습니다.또, 국군수도병원과 성남의료원, 성남정병원, 삼성서울병원 등 모두 8곳으로 환자들이 이송됐습니다.소방은 중상 환자를 12명, 경상 환자를 2명으로 분류했습니다.이 가운데 60대 여성 한 명이 차에 치여 심정지 상태에 빠졌다가 심폐소생술을 받은 뒤 분당차병원으로 옮겨졌는데, 위중한 상태인 것으로 확인됐습니다복부와 옆구리 등을 흉기에 찔린 사람들도 병원에서 치료받고 있는데, 이 중엔 60대 남성과 70대 여성도 있습니다.마찬가지로 흉기로 지상을 입은 20대 여성도 현재 수술 중에 있는데, 소방당국은 조금 전 밤 11시 20분까지 사망자는 발생하지 않았고, 모두 치료를 받고 있다고 밝혔습니다.경찰도 추가 인명피해가 있는지 조사 중인데요.병원마다 환자의 가족 등 보호자에게 연락을 취하는 가운데 환자별로 회복하는 상황을 밤새 지켜봐야 할 것으로 보입니다.지금까지 아주대병원 외상센터에서 YTN 권준수입니다.촬영기자: 박재현※ '당신의 제보가 뉴스가 됩니다'[카카오톡] YTN 검색해 채널 추가[전화] 02-398-8585[메일]",https://n.news.naver.com/mnews/article/052/0001918715?sid=102





"인도 정부, 랩톱 등에 수입 제한 조치 내려…삼성에 영향주나",2023-08-03 23:21:25,SBS,"인도 정부가 오늘(3일)(현지시간) 자국에서 랩톱과 태블릿, 개인용 컴퓨터 등을 판매하는 업체들의 제품 수입에 즉각적인 제한 조치를 내렸습니다.일간 민트 등 인도 매체들은 이날 인도 상무부가 발표한 성명을 인용, 정부가 랩톱 등을 판매하기 위해 인도에 들여오려는 회사나 법인이 라이선스를 얻도록 하는 조치를 즉각 발효시켰다고 보도했습니다.해당 조치는 구체적으로는 이날 오전 상무부 산하 대외무역총국(DGFT)에 의해 내려졌습니다.이는 맥북과 맥 미니 등을 파는 애플과 같은 회사들이 자사 제품의 인도 수입을 즉각 중단해야 함을 의미합니다.또한 인도에서 랩톱과 개인용 컴퓨터를 판매하는 삼성과 레노보, 휴렛 패커드 등도 마찬가지로 제품의 인도 수입을 멈춰야 하는 상황입니다.성명에는 앞으로 랩톱 등은 특정한 목적을 위해 사용되고 판매되지는 않는다는 조건 하에 수입이 허용된다는 내용을 담고 있습니다.또 연구와 개발, 시험 등과 관련해 수입 라이선스가 면제될 수 있는 품목이 최대 20개에 이를 수 있다는 내용도 담겨 있습니다.인도에서 판매되는 대부분의 랩톱과 개인용 컴퓨터들은 중국에서 제조되거나 조립되는데, 인도 정부는 이번 조치로써 랩톱 등의 제조업체들이 일부 시설을 인도로 이전하기를 바랄 수 있다고 현지 매체들은 분석했습니다.(사진=삼성전자 인도법인 제공, 연합뉴스)",https://n.news.naver.com/mnews/article/055/0001078724?sid=104





"印, 노트북·PC 수입 제한 삼성·애플 등 타격 불가피",2023-08-03 23:08:01,매일경제,"인도 정부가 자국에서 랩톱과 태블릿, 개인용 컴퓨터(PC) 등을 판매하는 기업들의 제품 수입을 사실상 금지했다. 전자제품 제조업체들의 생산시설을 인도로 이전시켜 자국 제조업 육성을 꾀하려는 목적으로 보인다.3일(현지시간) 일간 민트 등 인도 매체들은 이날 인도 상무부 성명을 인용해 랩톱 등의 제품을 판매 목적으로 인도에 수입하는 회사는 인도 정부의 라이선스를 얻도록 하는 조치가 즉각 발효됐다고 보도했다. 성명에 따르면 랩톱 등은 판매되지 않는다는 조건하에 수입이 허용된다. 아울러 연구와 개발, 시험 등의 목적으로 수입 라이선스가 면제될 수 있는 품목이 최대 20개에 달할 것으로 보인다.인도 정부의 수입 제한 조치로 랩톱과 태블릿, PC를 판매하는 업체들은 즉각 수입을 중단해야 하는 처지에 놓이게 됐다. 맥북과 맥 미니 등을 판매하는 애플은 물론 인도에서 랩톱과 PC를 판매하는 삼성과 레노보, 휼렛 패커드 등이 영향을 받을 것으로 보인다. 인도 상무부에 따르면 올해 2분기 인도의 전자제품 수입 금액은 197억달러(약 25조6000억원)에 달한다.이번 수입 제한 조치의 목적은 인도 내 제조업 육성 촉진이다. 인도에서 판매되는 대부분의 랩톱과 PC가 중국에서 제조되는 만큼, 수입 제한으로 제조업체들이 일부 생산시설을 인도로 이전하는 상황을 바라고 있다는 것이 현지 매체의 분석이다. 현지 매체에 따르면 인도 정부는 스마트폰 제조시설 유치와 관련해서도 유사한 조치를 취한 바 있다. []",https://n.news.naver.com/mnews/article/009/0005168102?sid=104





"""서현역 난동 피해자 14명 중 12명 중상""...위중환자 헬기로 긴급 이송",2023-08-03 22:55:56,YTN,"[앵커]경기도 성남시 서현동에서 일어난 흉기 난동 사건과 교통 사고로 현재까지 14명이 다쳤습니다.이 가운데 12명이 중상을 입고 여러 병원으로 옮겨졌고, 위중한 환자는 헬기로 긴급하게 이송됐는데요.환자들이 치료를 받고 있는 응급실 현장에 YTN 취재기자 나가 있습니다,![기자]네, 경기도 수원시 아주대병원에 나와 있습니다.[앵커]권 기자가 나가 있는 병원으로도 중상을 입은 시민이 이송된 거죠?[기자]그렇습니다,이곳 아주대병원에는 분당 서현동에서 인도로 들이닥친 차에 치여 중상을 입은 20대 여성 환자가 긴급히 헬리콥터로 이송됐습니다.소방당국이 출동했을 때 이 환자는 의식을 잃은 상태였는데요,외상센터로 옮겨져 응급 치료를 받고 있습니다.피의자 20대 남성 최 모 씨가 분당 서현동에서 차를 몰고 인도를 덮친 뒤 흉기 난동을 벌이면서 현재까지 모두 14명이 다친 것으로 파악됐습니다.먼저, 오늘 오후 5시 55분쯤 백화점 옆 도로에서 최 씨가 탄 차량이 인도로 돌진하면서 행인 5명이 다쳤습니다.그러고서 5분 뒤 A 씨가 백화점 내에서 흉기를 휘두르며, 9명이 더 다쳤습니다.부상자들은 사고 직후 이곳 아주대병원과 인근 분당제생병원, 분당 서울대병원 등으로 옮겨졌습니다.또, 국군수도병원과 성남의료원, 성남정병원, 삼성서울병원 등 모두 8곳으로 환자들이 이송됐습니다.소방은 중상 환자를 12명, 경상 환자를 2명으로 분류했습니다.이 가운데 60대 여성 한 명이 차에 치여 심정지 상태에 빠졌다가 심폐소생술을 받은 뒤 분당차병원으로 옮겨졌는데, 위중한 상태인 것으로 확인됐습니다복부와 옆구리 등을 흉기에 찔린 사람들도 병원에서 치료받고 있는데, 이 중엔 60대 남성과 70대 여성도 있습니다.마찬가지로 흉기로 지상을 입은 20대 여성도 현재 수술 중에 있는데, 소방당국은 조금 전 밤 10시 20분까지 사망자는 발생하지 않았고, 모두 치료를 받고 있다고 밝혔습니다.경찰도 추가 인명피해가 있는지 조사 중인데요.병원마다 환자의 가족 등 보호자에게 연락을 취하는 가운데 환자별로 회복하는 상황을 밤새 지켜봐야 할 것으로 보입니다.지금까지 아주대병원 외상센터에서 YTN 권준수입니다.촬영기자: 박재현※ '당신의 제보가 뉴스가 됩니다'[카카오톡] YTN 검색해 채널 추가[전화] 02-398-8585[메일]",https://n.news.naver.com/mnews/article/052/0001918691?sid=102

삼성노트북 인도수출 못하나…인도정부 라이선스 없으면 ‘현지수입 불가’,2023-08-03 22:48:01,이코노미스트,"태블릿·PC도 대상, 자국 제조업 육성 차원    삼성전자가 인도 특화 가전제품을 전시하고 있는 모습. [사진 삼성전자][이코노미스트 ] 인도정부가 자국 제조업 육성을 위해 노트북 컴퓨터와 태블릿, 개인용 컴퓨터(PC)에 대한 수입 제한조치를 시작했다. 3일(현지시각) 인도현지 매체에 따르면 이날 인도 상무부는 성명을 통해 판매 목적으로 노트북 컴퓨터 등을 자국에 수입하려는 법인에 대해 라이선스를 얻도록 하는 조치를 즉각 시행한다고 밝혔다. 이에 따라 삼성전자뿐 아니라 애플, 휴렛 패커드(HP) 등 자사 전자제품을 현지로 들여와 판매하는 회사들이 인도 수입을 중단해야 하는 상황이 발생하게 됐다. 인도정부가 내놓은 성명에 의하면 앞으로 노트북 컴퓨터와 태블릿, PC는 특정 목적을 위해 사용되거나 판매되지 않는다는 조건 하에 수입이 가능하다. 수입 라이선스가 필요 없는 품목은 연구나 개발, 시험등과 관련된 기기에 해당한다. 현재 인도에서 판매되는 이들 기업의 제품 대부분은 중국에서 제조돼 인도로 수입되고 있다. 인도 상무부 집계 상 올해 2분기 전자제품 수입 금액은 197억 달러(약 25조6000억원)에 달한다.최근 인도정부는 자국 제조업 육성 차원에서 수입 제한 품목을 확대하고 있다. 대상은 타이어부터 전자기기까지 다양화하고 있다.",https://n.news.naver.com/mnews/article/243/0000048386?sid=101
"이부진 호텔신라 사장, ‘두을장학재단’ 이사장 맡았다",2023-08-03 22:47:04,조선일보,"이부진 호텔신라 사장/뉴스1 										이부진 호텔신라 사장이 ‘두을장학재단’의 이사장으로 취임했다. 두을장학재단은 이병철 삼성그룹 창업주의 부인인 고(故) 박두을 여사가 사재를 털어 2000년 2월 차세대 여성 리더를 육성하겠다는 취지로 설립했다.재단은 박 여사의 장녀인 고(故) 이인희 한솔그룹 고문이 맡아 이끌어왔었는데, 생전 이 고문은 이부진 사장에게 ‘그룹 회장직을 승계한 이건희 회장의 맏딸이 승계하는 게 좋겠다’'며 권유했던 것으로 알려졌다. 2019년 이 고문이 별세한 후 이 사장은 이사장직 수락을 고민하다 올 초 결심했다고 한다. 이 사장은 지난달 27일 이사회를 열고, 자신의 사재 10억원을 재단에 기부했다.",https://n.news.naver.com/mnews/article/023/0003779622?sid=101


"삼성·애플 영향받나…인도 정부 ""랩톱·태블릿 수입 제한""",2023-08-03 22:38:12,중앙일보,"인도 삼성전자 벵갈루루 연구소. 연합뉴스           인도 정부가 자국에서 랩톱과 태블릿, 개인용 컴퓨터 등을 판매하는 업체들을 대상으로 제품 수입 제한 조치를 내렸다. 수입을 하려면 여러 까다로운 절차를 거쳐야 한다는 건데, 궁극적으론 ""수입하지 말고, 인도 제품을 쓰라""는 취지다.      일간 민트 등 인도 매체들은 3일(현지시간) 인도 상무부가 발표한 성명을 인용해 ""정부가 랩톱 등을 수입하려는 회사나 법인이 라이선스를 얻도록 하는 조치를 즉각 발효시켰다""고 전했다.      조치를 내린 곳은 인도 상무부 산하 대외무역총국(DGFT)이다.      DGFT는 성명에서 ""앞으로 랩톱 등은 특정한 목적을 위해 사용되고 판매되지는 않는다는 조건 하에 수입을 허용한다""고 밝혔다.      또 연구와 개발, 시험 등과 관련해 수입 라이선스가 면제될 수 있는 품목이 최대 20개에 이를 수 있다는 내용도 성명에 포함했다.      이번 조치로 맥북과 맥 미니 등을 파는 애플이나, 랩톱과 개인용 컴퓨터를 판매하는 삼성과 레노보, 휴렛 패커드 등이 영향을 받을 것으로 보인다.      인도 상무부에 따르면 지난 4월부터 6월까지 전자제품 수입 금액은 197억달러(25조 6000억여원)에 달했다.      현지 매체들은 ""인도에서 판매되는 대부분의 랩톱과 개인용 컴퓨터들은 중국에서 제조되거나 조립된 것들인데, 인도 정부는 이번 조치로써 랩톱 등의 제조업체들이 일부 시설을 인도로 이전하기를 바랄 수 있다""고 분석했다.      스페인 뉴스통신 EFE도 이 소식을 전하면서 ""현 인도 정부는 힌두 민족주의 성향으로, 자국 내 전자제품 제조업체들의 생산 능력을 키우고자 하는 '메이크 인 인디아' 정책과 일맥상통한다""고 분석했다.현지 매체들에 따르면, 인도 정부는 이전에 스마트폰 제조시설 유치와 관련해서도 유사한 조치를 내린 바 있다.",https://n.news.naver.com/mnews/article/025/0003298498?sid=104



